品牌,屏幕尺寸,效能等级,分辨率,电视类型,品牌类型,观看距离,用户优先,产品渠道,覆盖组合个数
tcl,65英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
不选,58-60英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
LG,55英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
Hisense,48-50英寸,无效能等级,高清(1366×768),不选,不选,3.5m以上(70英寸以上),新品电视,线上专供,3
Panasonic,39-45英寸,无效能等级,8k超高清(7680×4320),OLED,国产品牌,2.5m-3m(46-55英寸),新品电视,线上专供,6
创维,32英寸及以下,无效能等级,高清(1366×768),超薄,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
华为,78英寸及以上,三级效能,不选,超薄,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,4
菲利普,32英寸及以下,无效能等级,高清(1366×768),曲面,合资品牌,2m以下(≤32英寸),新品电视,线上专供,2
tcl,65英寸,无效能等级,全高清(1920×1080),不选,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,3
MAXHUB,58-60英寸,无效能等级,8k超高清(7680×4320),激光电视,不选,2m-2.5m(33-45英寸),不选,不选,10
tcl,55英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
Hisense,48-50英寸,一级效能,高清(1366×768),量子点,国产品牌,2m以下(≤32英寸),新品电视,线上专供,4
小米,32英寸及以下,三级效能,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
haier,70-75英寸,无效能等级,高清(1366×768),超薄,合资品牌,2m-2.5m(33-45英寸),京品电视,线上专供,4
MAXHUB,不选,二级效能,8k超高清(7680×4320),商业显示,合资品牌,3m-3.5m(56-65英寸),新品电视,不选,6
VIH,39-45英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
tcl,78英寸及以上,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,2
sharp,不选,三级效能,8k超高清(7680×4320),曲面,不选,3.5m以上(70英寸以上),不选,线上专供,6
VID^^,65英寸,无效能等级,不选,OLED,商业显示品牌,不选,新品电视,线上专供,3
Panasonic,55英寸,无效能等级,不选,游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,3
konka,48-50英寸,无效能等级,8k超高清(7680×4320),教育电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,4
不选,39-45英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
sony,32英寸及以下,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,2
小米,48-50英寸,二级效能,高清(1366×768),4K超清,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线下同款,5
sharp,70-75英寸,一级效能,不选,人工智能,国产品牌,不选,京品电视,线上专供,7
VID^^,39-45英寸,无效能等级,全高清(1920×1080),游戏电视,商业显示品牌,2m以下(≤32英寸),不选,线上专供,4
Hisense,78英寸及以上,不选,全高清(1920×1080),全面屏,不选,不选,新品电视,线上专供,6
sharp,32英寸及以下,不选,全高清(1920×1080),大屏,国产品牌,3.5m以上(70英寸以上),新品电视,不选,6
Hisense,70-75英寸,三级效能,高清(1366×768),超薄,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,4
LG,78英寸及以上,三级效能,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,4
VIH,65英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,58-60英寸,三级效能,高清(1366×768),游戏电视,合资品牌,3m-3.5m(56-65英寸),新品电视,线上专供,4
konka,55英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
创维,不选,不选,4k超高清(3840×2160),OLED,国产品牌,3.5m以上(70英寸以上),京品电视,线上专供,6
tcl,65英寸,无效能等级,高清(1366×768),不选,商业显示品牌,不选,新品电视,线上专供,2
小米,58-60英寸,无效能等级,高清(1366×768),教育电视,国产品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
tcl,58-60英寸,无效能等级,4k超高清(3840×2160),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,2
LG,55英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
Panasonic,39-45英寸,无效能等级,4k超高清(3840×2160),游戏电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,2
三星,78英寸及以上,无效能等级,4k超高清(3840×2160),智慧屏,不选,3m-3.5m(56-65英寸),新品电视,线上专供,4
华为,32英寸及以下,无效能等级,高清(1366×768),量子点,商业显示品牌,不选,新品电视,线上专供,2
长虹,65英寸,三级效能,全高清(1920×1080),不选,互联网品牌,不选,不选,线上专供,7
酷开,58-60英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
菲利普,55英寸,三级效能,不选,超薄,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,6
不选,39-45英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,不选,新品电视,线上专供,2
长虹,32英寸及以下,一级效能,8k超高清(7680×4320),4K超清,商业显示品牌,不选,新品电视,线上专供,4
华为,不选,一级效能,8k超高清(7680×4320),商业显示,商业显示品牌,不选,新品电视,线上专供,4
菲利普,70-75英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线下同款,4
VIH,58-60英寸,一级效能,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
tcl,48-50英寸,无效能等级,8k超高清(7680×4320),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
konka,39-45英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
sony,32英寸及以下,三级效能,不选,教育电视,商业显示品牌,3.5m以上(70英寸以上),不选,线上专供,4
Hisense,不选,无效能等级,高清(1366×768),量子点,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
Panasonic,32英寸及以下,无效能等级,8k超高清(7680×4320),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
菲利普,65英寸,无效能等级,4k超高清(3840×2160),不选,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,4
LG,58-60英寸,无效能等级,4k超高清(3840×2160),游戏电视,商业显示品牌,不选,新品电视,线上专供,3
小米,48-50英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
长虹,不选,三级效能,高清(1366×768),大屏,合资品牌,3.5m以上(70英寸以上),新品电视,线上专供,5
华为,70-75英寸,无效能等级,高清(1366×768),智慧屏,国产品牌,2m以下(≤32英寸),新品电视,不选,3
小米,78英寸及以上,无效能等级,高清(1366×768),游戏电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
VIH,58-60英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
长虹,55英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,2
sony,39-45英寸,三级效能,高清(1366×768),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,3
VID^^,32英寸及以下,无效能等级,高清(1366×768),人工智能,商业显示品牌,2.5m-3m(46-55英寸),不选,线上专供,4
haier,32英寸及以下,无效能等级,全高清(1920×1080),量子点,不选,3.5m以上(70英寸以上),新品电视,线上专供,4
Hisense,55英寸,无效能等级,4k超高清(3840×2160),曲面,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,4
VID^^,78英寸及以上,无效能等级,不选,曲面,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线下同款,5
LG,70-75英寸,无效能等级,全高清(1920×1080),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,不选,3
VIH,65英寸,二级效能,高清(1366×768),OLED,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
VIH,58-60英寸,无效能等级,高清(1366×768),4K超清,国产品牌,2m以下(≤32英寸),新品电视,线上专供,2
长虹,48-50英寸,无效能等级,高清(1366×768),超薄,互联网品牌,2.5m-3m(46-55英寸),不选,线上专供,5
Panasonic,70-75英寸,一级效能,4k超高清(3840×2160),全面屏,合资品牌,不选,新品电视,不选,7
创维,58-60英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
Hisense,32英寸及以下,无效能等级,高清(1366×768),激光电视,合资品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,32英寸及以下,无效能等级,高清(1366×768),商业显示,国产品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,65英寸,无效能等级,高清(1366×768),大屏,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,2
haier,55英寸,无效能等级,8k超高清(7680×4320),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
sharp,39-45英寸,二级效能,高清(1366×768),不选,合资品牌,2m以下(≤32英寸),新品电视,线上专供,3
创维,39-45英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,不选,新品电视,线上专供,2
长虹,32英寸及以下,三级效能,全高清(1920×1080),商业显示,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
VIH,65英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,58-60英寸,无效能等级,高清(1366×768),不选,不选,3m-3.5m(56-65英寸),新品电视,线上专供,3
MAXHUB,55英寸,无效能等级,高清(1366×768),不选,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
LG,48-50英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
haier,32英寸及以下,无效能等级,全高清(1920×1080),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
三星,58-60英寸,一级效能,不选,量子点,国产品牌,3.5m以上(70英寸以上),京品电视,线上专供,7
sony,78英寸及以上,三级效能,全高清(1920×1080),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,3
不选,70-75英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,65英寸,无效能等级,不选,不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
菲利普,不选,二级效能,不选,大屏,国产品牌,不选,新品电视,线上专供,5
sony,32英寸及以下,无效能等级,高清(1366×768),教育电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,32英寸及以下,无效能等级,高清(1366×768),智慧屏,不选,2m以下(≤32英寸),新品电视,线上专供,2
三星,32英寸及以下,无效能等级,全高清(1920×1080),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,3
haier,70-75英寸,三级效能,高清(1366×768),激光电视,合资品牌,2.5m-3m(46-55英寸),新品电视,线上专供,4
Hisense,78英寸及以上,无效能等级,高清(1366×768),不选,国产品牌,2m以下(≤32英寸),新品电视,不选,3
sony,65英寸,无效能等级,高清(1366×768),智慧屏,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
不选,55英寸,无效能等级,高清(1366×768),不选,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
sony,48-50英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,不选,新品电视,线上专供,3
小米,39-45英寸,无效能等级,高清(1366×768),超薄,国产品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
酷开,不选,无效能等级,不选,人工智能,国产品牌,2m-2.5m(33-45英寸),新品电视,线下同款,5
LG,不选,二级效能,8k超高清(7680×4320),教育电视,不选,不选,新品电视,不选,6
tcl,不选,无效能等级,全高清(1920×1080),曲面,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,3
不选,39-45英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sony,70-75英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
VID^^,65英寸,不选,8k超高清(7680×4320),4K超清,不选,3m-3.5m(56-65英寸),不选,不选,8
酷开,58-60英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
VIH,78英寸及以上,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,3
VIH,70-75英寸,无效能等级,8k超高清(7680×4320),不选,互联网品牌,2.5m-3m(46-55英寸),新品电视,线上专供,5
三星,55英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
小米,58-60英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,不选,新品电视,线上专供,2
酷开,32英寸及以下,无效能等级,不选,超薄,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,3
sony,32英寸及以下,二级效能,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
菲利普,55英寸,无效能等级,8k超高清(7680×4320),游戏电视,商业显示品牌,不选,新品电视,线上专供,3
三星,48-50英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,39-45英寸,无效能等级,全高清(1920×1080),量子点,合资品牌,3.5m以上(70英寸以上),新品电视,线上专供,4
菲利普,32英寸及以下,无效能等级,高清(1366×768),曲面,商业显示品牌,3.5m以上(70英寸以上),京品电视,线上专供,2
不选,不选,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
konka,78英寸及以上,无效能等级,高清(1366×768),游戏电视,国产品牌,2m以下(≤32英寸),新品电视,线上专供,2
长虹,70-75英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
创维,65英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
VIH,58-60英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
华为,58-60英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
tcl,55英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,3
VID^^,48-50英寸,二级效能,高清(1366×768),不选,国产品牌,3.5m以上(70英寸以上),新品电视,线上专供,5
长虹,39-45英寸,无效能等级,全高清(1920×1080),教育电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线下同款,5
MAXHUB,32英寸及以下,无效能等级,8k超高清(7680×4320),全面屏,商业显示品牌,不选,新品电视,线上专供,3
长虹,32英寸及以下,无效能等级,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,32英寸及以下,三级效能,高清(1366×768),激光电视,商业显示品牌,不选,新品电视,不选,3
konka,32英寸及以下,三级效能,高清(1366×768),商业显示,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
konka,78英寸及以上,无效能等级,高清(1366×768),OLED,国产品牌,2.5m-3m(46-55英寸),新品电视,线上专供,4
sony,58-60英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,2m以下(≤32英寸),不选,线上专供,2
haier,78英寸及以上,二级效能,4k超高清(3840×2160),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,3
haier,65英寸,无效能等级,高清(1366×768),智慧屏,不选,2m以下(≤32英寸),新品电视,线下同款,3
sony,32英寸及以下,二级效能,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,48-50英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,70-75英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,58-60英寸,无效能等级,高清(1366×768),游戏电视,合资品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
VIH,55英寸,无效能等级,高清(1366×768),游戏电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,2
三星,32英寸及以下,无效能等级,高清(1366×768),全面屏,互联网品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
菲利普,65英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
不选,65英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
小米,58-60英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
创维,55英寸,无效能等级,高清(1366×768),商业显示,商业显示品牌,不选,新品电视,线上专供,2
LG,70-75英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2m以下(≤32英寸),新品电视,不选,2
konka,48-50英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
haier,39-45英寸,无效能等级,高清(1366×768),不选,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
不选,65英寸,无效能等级,高清(1366×768),人工智能,商业显示品牌,不选,新品电视,线上专供,2
MAXHUB,不选,无效能等级,高清(1366×768),大屏,不选,2m以下(≤32英寸),不选,线上专供,3
酷开,58-60英寸,二级效能,8k超高清(7680×4320),智慧屏,商业显示品牌,不选,新品电视,不选,6
sharp,32英寸及以下,无效能等级,4k超高清(3840×2160),4K超清,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,2
sharp,65英寸,二级效能,全高清(1920×1080),量子点,国产品牌,3.5m以上(70英寸以上),新品电视,不选,7
tcl,78英寸及以上,无效能等级,高清(1366×768),曲面,互联网品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
不选,78英寸及以上,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,55英寸,无效能等级,高清(1366×768),不选,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,2
三星,48-50英寸,无效能等级,高清(1366×768),游戏电视,不选,2m以下(≤32英寸),新品电视,线上专供,2
华为,32英寸及以下,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),不选,线上专供,2
三星,58-60英寸,三级效能,高清(1366×768),超薄,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,4
不选,48-50英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
小米,不选,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m-2.5m(33-45英寸),新品电视,不选,3
LG,58-60英寸,无效能等级,高清(1366×768),不选,商业显示品牌,不选,新品电视,线上专供,2
酷开,70-75英寸,无效能等级,高清(1366×768),游戏电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,2
sony,39-45英寸,无效能等级,高清(1366×768),游戏电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,39-45英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
不选,不选,不选,高清(1366×768),OLED,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
Hisense,不选,三级效能,高清(1366×768),人工智能,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,3
tcl,32英寸及以下,二级效能,全高清(1920×1080),4K超清,不选,2m以下(≤32英寸),新品电视,线上专供,3
tcl,55英寸,无效能等级,高清(1366×768),曲面,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,2
Panasonic,65英寸,一级效能,不选,不选,互联网品牌,3m-3.5m(56-65英寸),新品电视,线上专供,7
Hisense,70-75英寸,无效能等级,4k超高清(3840×2160),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,3
sharp,48-50英寸,二级效能,8k超高清(7680×4320),人工智能,商业显示品牌,不选,新品电视,线上专供,4
tcl,39-45英寸,无效能等级,高清(1366×768),量子点,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
konka,70-75英寸,不选,全高清(1920×1080),全面屏,商业显示品牌,不选,不选,线上专供,5
不选,不选,无效能等级,高清(1366×768),大屏,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
haier,65英寸,无效能等级,高清(1366×768),超薄,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
haier,70-75英寸,无效能等级,4k超高清(3840×2160),商业显示,互联网品牌,不选,新品电视,线上专供,4
LG,32英寸及以下,三级效能,高清(1366×768),游戏电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,4
小米,78英寸及以上,无效能等级,高清(1366×768),不选,不选,2m以下(≤32英寸),新品电视,不选,3
华为,55英寸,无效能等级,全高清(1920×1080),人工智能,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,5
sharp,48-50英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
长虹,32英寸及以下,不选,高清(1366×768),OLED,国产品牌,2m以下(≤32英寸),新品电视,线上专供,3
华为,32英寸及以下,一级效能,全高清(1920×1080),4K超清,不选,3.5m以上(70英寸以上),新品电视,不选,6
菲利普,78英寸及以上,不选,8k超高清(7680×4320),曲面,国产品牌,2m以下(≤32英寸),新品电视,线上专供,4
Panasonic,48-50英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
LG,39-45英寸,无效能等级,不选,不选,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
LG,78英寸及以上,一级效能,高清(1366×768),大屏,不选,不选,新品电视,线上专供,4
小米,70-75英寸,无效能等级,高清(1366×768),教育电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
LG,32英寸及以下,无效能等级,4k超高清(3840×2160),智慧屏,不选,3.5m以上(70英寸以上),新品电视,线上专供,4
三星,39-45英寸,无效能等级,高清(1366×768),超薄,互联网品牌,2m-2.5m(33-45英寸),新品电视,线上专供,4
三星,32英寸及以下,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线下同款,1
华为,55英寸,无效能等级,高清(1366×768),游戏电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,1
sharp,55英寸,无效能等级,高清(1366×768),游戏电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,48-50英寸,无效能等级,高清(1366×768),不选,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
创维,78英寸及以上,无效能等级,高清(1366×768),激光电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
小米,32英寸及以下,无效能等级,高清(1366×768),商业显示,商业显示品牌,2m以下(≤32英寸),新品电视,不选,1
Hisense,58-60英寸,无效能等级,高清(1366×768),OLED,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,3
VID^^,55英寸,不选,高清(1366×768),游戏电视,合资品牌,2m以下(≤32英寸),新品电视,线上专供,3
konka,65英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),不选,线上专供,2
tcl,70-75英寸,不选,高清(1366×768),教育电视,商业显示品牌,不选,新品电视,线上专供,3
haier,不选,三级效能,不选,量子点,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,4
tcl,65英寸,无效能等级,高清(1366×768),商业显示,国产品牌,2.5m-3m(46-55英寸),新品电视,线上专供,3
Panasonic,55英寸,无效能等级,高清(1366×768),游戏电视,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,48-50英寸,不选,全高清(1920×1080),不选,互联网品牌,不选,新品电视,线上专供,5
不选,39-45英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,1
VIH,39-45英寸,无效能等级,8k超高清(7680×4320),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
小米,39-45英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
小米,32英寸及以下,无效能等级,高清(1366×768),智慧屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,1
菲利普,32英寸及以下,无效能等级,高清(1366×768),超薄,国产品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,32英寸及以下,无效能等级,4k超高清(3840×2160),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
华为,32英寸及以下,无效能等级,全高清(1920×1080),激光电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线下同款,3
haier,78英寸及以上,三级效能,高清(1366×768),游戏电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
小米,70-75英寸,不选,高清(1366×768),OLED,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,3
haier,58-60英寸,无效能等级,高清(1366×768),不选,商业显示品牌,不选,新品电视,线上专供,2
创维,55英寸,无效能等级,全高清(1920×1080),人工智能,合资品牌,2m-2.5m(33-45英寸),新品电视,线上专供,4
LG,32英寸及以下,无效能等级,高清(1366×768),全面屏,商业显示品牌,3m-3.5m(56-65英寸),京品电视,线上专供,3
不选,32英寸及以下,无效能等级,高清(1366×768),大屏,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
VID^^,65英寸,一级效能,4k超高清(3840×2160),教育电视,互联网品牌,2m以下(≤32英寸),新品电视,不选,5
sharp,70-75英寸,三级效能,高清(1366×768),智慧屏,合资品牌,不选,新品电视,线下同款,5
华为,65英寸,无效能等级,不选,超薄,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,4
MAXHUB,65英寸,无效能等级,8k超高清(7680×4320),4K超清,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,2
sony,不选,无效能等级,高清(1366×768),商业显示,国产品牌,2m以下(≤32英寸),新品电视,线上专供,3
三星,78英寸及以上,无效能等级,8k超高清(7680×4320),游戏电视,商业显示品牌,不选,新品电视,线上专供,3
LG,55英寸,无效能等级,全高清(1920×1080),游戏电视,商业显示品牌,3m-3.5m(56-65英寸),新品电视,线上专供,3
小米,48-50英寸,无效能等级,高清(1366×768),全面屏,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
VIH,39-45英寸,无效能等级,高清(1366×768),激光电视,商业显示品牌,2m以下(≤32英寸),新品电视,线上专供,1
Panasonic,78英寸及以上,无效能等级,4k超高清(3840×2160),量子点,互联网品牌,3m-3.5m(56-65英寸),新品电视,线上专供,4
VIH,32英寸及以下,二级效能,高清(1366×768),曲面,商业显示品牌,2m以下(≤32英寸),新品电视,不选,3
konka,70-75英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2.5m-3m(46-55英寸),新品电视,线上专供,2
MAXHUB,58-60英寸,无效能等级,高清(1366×768),游戏电视,商业显示品牌,2m-2.5m(33-45英寸),新品电视,线上专供,2
VIH,55英寸,无效能等级,高清(1366×768),OLED,不选,不选,新品电视,线上专供,3
VIH,48-50英寸,无效能等级,4k超高清(3840×2160),人工智能,互联网品牌,2m以下(≤32英寸),新品电视,线上专供,3
MAXHUB,39-45英寸,无效能等级,4k超高清(3840×2160),游戏电视,商业显示品牌,3.5m以上(70英寸以上),新品电视,线上专供,2
tcl,65英寸,无效能等级,高清(1366×768),大屏,商业显示品牌,2m以下(≤32英寸),京品电视,线上专供,2
